timestamp,t,e,tk,lp,pc,ft,ap,v,bp1,sp1,bq1,sq1,oi,h,l,_id
,tf,NFO,64012,424.20,26.34,1703044787,,,,,,,,,,
,tf,NFO,64012,424.40,26.40,1703044787,,542445,423.60,425.00,45,195,,,,
,tf,NFO,64012,424.40,26.40,1703044787,,542445,423.60,425.00,45,195,,,,
,tf,NFO,64012,424.00,26.28,1703044788,,,,,,,,,,
,tf,NFO,64012,424.00,26.28,1703044788,,,,,,,,,,
,tf,NFO,64012,423.90,26.25,1703044789,429.58,542775,421.65,422.65,,15,,,,
,tf,NFO,64012,423.90,26.25,1703044789,429.58,542775,421.65,422.65,,15,,,,
,tf,NFO,64012,420.00,25.09,1703044789,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044789,,,,,,,,,,
,tf,NFO,64012,419.20,24.85,1703044790,,,,,,,,,,
,tf,NFO,64012,419.20,24.85,1703044790,,,,,,,,,,
,tf,NFO,64012,419.70,25.00,1703044791,,,,,,,,,,
,tf,NFO,64012,419.70,25.00,1703044791,,,,,,,,,,
,tf,NFO,64012,419.80,25.03,1703044792,,,,,,,,,,
,tf,NFO,64012,419.80,25.03,1703044792,,,,,,,,,,
,tf,NFO,64012,423.25,26.06,1703044793,,,,,,,,,,
,tf,NFO,64012,423.25,26.06,1703044793,,,,,,,,,,
,tf,NFO,64012,421.45,25.52,1703044794,,,,,,,,,,
,tf,NFO,64012,421.45,25.52,1703044794,,,,,,,,,,
,tf,NFO,64012,419.50,24.94,1703044795,,,,,,,,,,
,tf,NFO,64012,419.50,24.94,1703044795,,,,,,,,,,
,tf,NFO,64012,419.00,24.80,1703044796,429.53,546045,418.30,419.05,75,15,,,,
,tf,NFO,64012,419.00,24.80,1703044796,429.53,546045,418.30,419.05,75,15,,,,
,tf,NFO,64012,419.35,24.90,1703044796,,,,,,,,,,
,tf,NFO,64012,419.35,24.90,1703044796,,,,,,,,,,
,tf,NFO,64012,417.60,24.38,1703044797,,546315,416.70,417.60,225,90,,,,
,tf,NFO,64012,417.60,24.38,1703044797,,546315,416.70,417.60,225,90,,,,
,tf,NFO,64012,417.65,24.39,1703044798,,,,,,,,,,
,tf,NFO,64012,417.65,24.39,1703044798,,,,,,,,,,
,tf,NFO,64012,418.15,24.54,1703044799,,,,,,,,,,
,tf,NFO,64012,418.15,24.54,1703044799,,,,,,,,,,
,tf,NFO,64012,418.70,24.71,1703044800,,,,,,,,,,
,tf,NFO,64012,418.70,24.71,1703044800,,,,,,,,,,
,tf,NFO,64012,413.40,23.13,1703044801,429.48,548415,413.85,414.70,90,,,,,
,tf,NFO,64012,413.40,23.13,1703044801,429.48,548415,413.85,414.70,90,,,,,
